model_name,representation,subset,domain_shift_gap,mlm_loss,top1_acc,top5_acc,top10_acc,rare_top1_acc,performance_gap,eval_time_sec,evaluated_doc_count,cat_vessel_terminology_acc,cat_navigation_acc,cat_machinery_propulsion_acc,cat_casualty_incident_acc,cat_weather_environment_acc,cat_safety_lifesaving_acc
allenai/scibert_scivocab_uncased,json,balanced_knowledge,-0.1586418351124233,3.3937553395721616,0.5115830115830116,0.584942084942085,0.6216216216216216,0.0,0.16082253600187602,45.573344707489014,200.0,0.5,1.0,1.0,0.65,0.5349,0.0
allenai/scibert_scivocab_uncased,json,high_knowledge,-0.018786572220511222,4.325737938036758,0.3717277486910995,0.4712041884816754,0.5143979057591623,0.0,0.2565335746234486,44.02191233634949,200.0,0.342,1.0,0.25,0.6071,0.5333,0.0
allenai/scibert_scivocab_uncased,json,low_knowledge,-0.6031027795733679,0.4928508017303082,0.9560439560439561,0.9560439560439561,0.9615384615384616,0.0,-0.20342281691105724,25.28291368484497,200.0,0.956,0.0,0.0,0.0,0.0,0.0
allenai/scibert_scivocab_uncased,json,medium_knowledge,-0.22375785265562537,2.8200218104195423,0.5766990291262136,0.6601941747572816,0.6990291262135923,1.0,0.096493348842985,31.923043489456177,200.0,0.5498,1.0,0.8,0.7917,0.6842,0.0
allenai/scibert_scivocab_uncased,json,random_baseline,-0.16713530536497584,3.502915349437227,0.5200764818355641,0.5736137667304015,0.609942638623327,0.2,0.14439238263330034,43.682376861572266,200.0,0.516,0.0,0.8333,0.7222,0.431,1.0
allenai/scibert_scivocab_uncased,key_value,balanced_knowledge,-0.16116925297726453,2.953499161357903,0.5141104294478528,0.6650306748466258,0.7165644171779141,0.0125,0.05582370460871444,96.91436243057251,200.0,0.5208,0.4257,1.0,0.8571,0.6111,0.0
allenai/scibert_scivocab_uncased,key_value,high_knowledge,-0.05775905956403016,3.3966502206760962,0.4107002360346184,0.6160503540519277,0.6750590086546027,0.0196078431372549,0.10804082262060338,86.83448386192322,200.0,0.415,0.3695,0.5,0.5161,0.5165,0.0
allenai/scibert_scivocab_uncased,key_value,low_knowledge,-0.6417678182384063,0.04559459331822697,0.9947089947089947,1.0,1.0,0.0,-0.252854358117516,38.40524625778198,200.0,0.9947,0.0,0.0,0.0,0.0,0.0
allenai/scibert_scivocab_uncased,key_value,medium_knowledge,-0.2513368983957219,2.5394927962156566,0.6042780748663101,0.6773618538324421,0.7290552584670231,1.0,-0.06392719767332766,65.29985499382019,200.0,0.5988,0.75,1.0,0.5909,0.6222,0.0
allenai/scibert_scivocab_uncased,key_value,random_baseline,-0.15794416460343202,2.9508690950894687,0.5108853410740203,0.6647314949201741,0.7111756168359942,0.034482758620689655,0.041280883505997346,70.76418995857239,200.0,0.4959,0.4706,0.9,0.75,0.56,1.0
allenai/scibert_scivocab_uncased,mixed,balanced_knowledge,-0.4363150218765192,1.2414246532409534,0.7892561983471075,0.8710743801652893,0.8876033057851239,0.5576923076923077,-0.01630171268543945,65.06655740737915,200.0,0.8228,0.6185,1.0,0.9444,0.9583,0.8
allenai/scibert_scivocab_uncased,mixed,high_knowledge,-0.43375607123583376,1.2068503456913506,0.786697247706422,0.8692660550458715,0.8903669724770642,0.5435684647302904,-0.023413993767250174,62.461896896362305,200.0,0.8237,0.6494,1.0,0.9,0.9071,0.0
allenai/scibert_scivocab_uncased,mixed,low_knowledge,-0.5286377708978327,1.179741593913089,0.881578947368421,0.8848684210526315,0.8848684210526315,0.0,-0.09398836765827612,24.073230981826782,200.0,0.8816,0.0,0.0,0.0,0.0,0.0
allenai/scibert_scivocab_uncased,mixed,medium_knowledge,-0.5052598817304699,1.0183576586491576,0.8582010582010582,0.8952380952380953,0.9037037037037037,1.0,-0.09894179894179889,44.554436445236206,200.0,0.8458,1.0,1.0,1.0,0.8966,1.0
allenai/scibert_scivocab_uncased,mixed,random_baseline,-0.5022192745268099,0.9903449345979174,0.8551604509973981,0.8881179531656548,0.9019947961838681,0.696969696969697,-0.10648099589592463,68.16111516952515,200.0,0.8482,0.8222,1.0,0.8621,0.9868,0.5
